"Product","Quality","Form","Country / Region","Producer Scope","Price level (INCOTERMS)","Quantity / Unit","Currency","Fairtrade minimum price","Fairtrade premium","Date of validity","Specific Product Standard","Product Specific Information"
"Carambola (Starfruit)","Conventional","pulp","Worldwide","SPO / HL","FOB","1 kg","","Commercial price","15% of the commercial price","11/04/2013","Prepared and Preserved Fruit & Vegetables",""
"Carambola (Starfruit)","Organic","pulp","Worldwide","SPO / HL","FOB","1 kg","","Commercial price","15% of the commercial price","11/04/2013","Prepared and Preserved Fruit & Vegetables",""
"Cardamom","Conventional","","Worldwide","SPO","","1 kg","","Commercial price","15% of the commercial price","22/07/2009","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cardamom","Organic","","India","SPO","EXW","1 kg","EUR","5.53","0.99","21/03/2005","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cardamom","Organic","","Sri Lanka","SPO","EXW","1 kg","EUR","5.53","0.99","21/03/2005","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cardamom","Organic","","worldwide (exc. India and Sri Lanka)","SPO","","1 kg","","Commercial price","15% of the commercial price","22/07/2009","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Carrot","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Carrot","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Carrot","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Carrot","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","2.28","0.15","02/10/2010","Nuts","DW; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","2.14","0.15","02/10/2010","Nuts","pieces; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","2.89","0.15","02/10/2010","Nuts","splits and LWP; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","2.6","0.15","02/10/2010","Nuts","SSW; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","2.19","0.15","02/10/2010","Nuts","SW; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.82","0.15","02/10/2010","Nuts","SW210; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.73","0.15","02/10/2010","Nuts","SW240; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.05","0.15","02/10/2010","Nuts","SW320; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","2.68","0.15","02/10/2010","Nuts","SW450; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","4.37","0.15","02/10/2010","Nuts","W180; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.92","0.15","02/10/2010","Nuts","W210; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.66","0.15","02/10/2010","Nuts","W240; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.21","0.15","02/10/2010","Nuts","W320; "
"Cashew nut","Conventional","kernel","Worldwide","SPO","FOB","1 pound","USD","3.01","0.15","02/10/2010","Nuts","W450; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","2.57","0.15","02/10/2010","Nuts","DW; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","2.41","0.15","02/10/2010","Nuts","pieces; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","3.25","0.15","02/10/2010","Nuts","splits and LWP; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","2.93","0.15","02/10/2010","Nuts","SSW; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","2.46","0.15","02/10/2010","Nuts","SW; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","4.3","0.15","02/10/2010","Nuts","SW210; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","4.12","0.15","02/10/2010","Nuts","SW240; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","3.44","0.15","02/10/2010","Nuts","SW320; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","3.11","0.15","02/10/2010","Nuts","SW450; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","4.93","0.15","02/10/2010","Nuts","W180; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","4.43","0.15","02/10/2010","Nuts","W210; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","4.08","0.15","02/10/2010","Nuts","W240; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","3.62","0.15","02/10/2010","Nuts","W320; "
"Cashew nut","Organic","kernel","Worldwide","SPO","FOB","1 pound","USD","3.4","0.15","02/10/2010","Nuts","W450; "
"Cashew nut; raw","Conventional","","Africa","SPO","EXW","1 kg","USD","0.55","0.07","15/01/2013","Nuts","kor 48 & 201-210 nut count/kg; refer to the explanation in the product standard"
"Cashew nut; raw","Conventional","","Africa","SPO","EXW","1 kg","USD","see conditions below","0.07","15/01/2013","Nuts","nut count/kg≠210-201 & kor ≠ 48; refer to the explanation in the product stan"
"Cashew nut; raw","Organic","","Africa","SPO","EXW","1 kg","USD","0.63","0.07","15/01/2013","Nuts","kor 48 & 201-210 nut count/kg; refer to the explanation in the product standard"
"Cashew nut; raw","Organic","","Africa","SPO","EXW","1 kg","USD","see conditions below","0.07","15/01/2013","Nuts","nut count/kg≠210-201 & kor ≠ 48; refer to the explanation in the product stan"
"Cassava; manioc root; tapioca root","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","07/04/2014","Vegetables",""
"Cassava; manioc root; tapioca root","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","07/04/2014","Vegetables",""
"Cassava; manioc root; tapioca root","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","07/04/2014","Vegetables",""
"Cassava; manioc root; tapioca root","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","07/04/2014","Vegetables",""
"Cauliflower","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Cauliflower","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Cauliflower","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Cauliflower","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Celery","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Celery","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Celery","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Celery","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Chard","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Chard","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Chard","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Chard","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Cherry","Conventional","for drying","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Cherry","Conventional","for processing","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Cherry","Organic","for drying","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Cherry","Organic","for processing","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Cherry","Conventional","dried","Pakistan","CP","EXW","1 kg","GBP","Commercial price","0.66","01/02/2011","Prepared and Preserved Fruit & Vegetables","already certified operators"
"Cherry","Conventional","dried","Worldwide","SPO","EXW","1 kg","USD","Commercial price","1.04","01/02/2011","Prepared and Preserved Fruit & Vegetables",""
"Cherry","Organic","dried","Pakistan","CP","EXW","1 kg","GBP","Commercial price","0.66","01/02/2011","Prepared and Preserved Fruit & Vegetables","already certified operators"
"Cherry","Organic","dried","Worldwide","SPO","EXW","1 kg","USD","Commercial price","1.04","01/02/2011","Prepared and Preserved Fruit & Vegetables",""
"Chestnut","Conventional","dried; semi-processed","Worldwide","SPO","EXW","1 kg","USD","Commercial price","15% of the commercial price","13/06/2017","Nuts",""
"Chestnut","Organic","dried; semi-processed","Worldwide","SPO","EXW","1 kg","USD","Commercial price","15% of the commercial price","13/06/2017","Nuts",""
"Cinnamon","Conventional","","Worldwide","SPO","","1 kg","","Commercial price","15% of the commercial price","22/07/2009","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cinnamon","Organic","","India","SPO","EXW","1 kg","EUR","3.64","0.21","12/05/2005","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cinnamon","Organic","","Sri Lanka","SPO","EXW","1 kg","EUR","3.64","0.21","12/05/2005","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cinnamon","Organic","","worldwide (exc. India and Sri Lanka)","SPO","","1 kg","","Commercial price","15% of the commercial price","22/07/2009","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Clove","Conventional","","Worldwide","SPO","","1 kg","","Commercial price","15% of the commercial price","22/07/2009","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Clove","Organic","","India","SPO","EXW","1 kg","EUR","2.36","0.31","04/05/2006","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Clove","Organic","","Sri Lanka","SPO","EXW","1 kg","EUR","2.36","0.31","04/05/2006","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Clove","Organic","","worldwide (exc. India and Sri Lanka)","SPO","","1 kg","","Commercial price","15% of the commercial price","22/07/2009","Herbs and Herbal Teas and Spices","Look at the product description in the specific product standard"
"Cocoa","Conventional","Beans","Ghana","SPO","FOB","1 MT","USD","2400","240","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Beans","Ivory Coast","SPO","FOB","1 MT","EUR","2206","221","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Butter","Ghana","SPO","EXW","1 MT","USD","Commercial price","479","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Butter","Ivory Coast","SPO","EXW","1 MT","EUR","Commercial price","440","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Ghana","SPO","EXW","1 MT","USD","2688","300","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Ivory Coast","SPO","EXW","1 MT","EUR","2470","276","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Powder","Ghana","SPO","EXW","1 MT","USD","Commercial price","425","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Powder","Ivory Coast","SPO","EXW","1 MT","EUR","Commercial price","391","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Beans","Ghana","SPO","FOB","1 MT","USD","Organic differential: +300","240","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Beans","Ivory Coast","SPO","FOB","1 MT","EUR","Organic differential: +276","221","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Butter","Ghana","SPO","EXW","1 MT","USD","Organic differential: +375","479","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Butter","Ivory Coast","SPO","EXW","1 MT","EUR","Organic differential: +345","440","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Liquor","Ghana","SPO","EXW","1 MT","USD","Organic differential: +375","300","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Liquor","Ivory Coast","SPO","EXW","1 MT","EUR","Organic differential: +345","276","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Powder","Ghana","SPO","EXW","1 MT","USD","Organic differential: +375","425","Current until 30/09/2026","Cocoa",""
"Cocoa","Organic","Powder","Ivory Coast","SPO","EXW","1 MT","EUR","Organic differential: +345","391","Current until 30/09/2026","Cocoa",""
"Cocoa","Conventional","Beans","Pacific","CP","FOB","1 MT","USD","3500","240","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Beans","Worldwide (exc. Ivory Coast and Ghana)","SPO","FOB","1 MT","USD","3500","240","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Butter","Pacific","CP","EXW","1 MT","USD","Commercial price","479","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Butter","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Commercial price","479","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Pacific","CP","EXW","1 MT","USD","4063","300","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","4063","300","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Powder","Pacific","CP","EXW","1 MT","USD","Commercial price","425","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Powder","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Commercial price","425","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Beans","Pacific","CP","FOB","1 MT","USD","Organic differential: +300","240","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Beans","Worldwide (exc. Ivory Coast and Ghana)","SPO","FOB","1 MT","USD","Organic differential: +300","240","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Butter","Pacific","CP","EXW","1 MT","USD","Organic differential: +375","479","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Butter","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Organic differential: +375","479","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Liquor","Pacific","CP","EXW","1 MT","USD","Organic differential: +375","300","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Liquor","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Organic differential: +375","300","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Powder","Pacific","CP","EXW","1 MT","USD","Organic differential: +375","425","Current until 10/06/2026","Cocoa",""
"Cocoa","Organic","Powder","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Organic differential: +375","425","Current until 10/06/2026","Cocoa",""
"Cocoa","Conventional","Beans","Ghana","SPO","FOB","1 MT","USD","3500","275","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Beans","Ivory Coast","SPO","FOB","1 MT","EUR","3200","250","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Butter","Ghana","SPO","EXW","1 MT","USD","Commercial price","549","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Butter","Ivory Coast","SPO","EXW","1 MT","EUR","Commercial price","501","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Ghana","SPO","EXW","1 MT","USD","4063","450","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Ivory Coast","SPO","EXW","1 MT","EUR","3708","314","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Powder","Ghana","SPO","EXW","1 MT","USD","Commercial price","486","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Powder","Ivory Coast","SPO","EXW","1 MT","EUR","Commercial price","444","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Beans","Ghana","SPO","FOB","1 MT","USD","Organic differential: +450","275","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Beans","Ivory Coast","SPO","FOB","1 MT","EUR","Organic differential: +410","250","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Butter","Ghana","SPO","EXW","1 MT","USD","Organic differential: +563","549","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Butter","Ivory Coast","SPO","EXW","1 MT","EUR","Organic differential: +513","501","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Liquor","Ghana","SPO","EXW","1 MT","USD","Organic differential: +563","450","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Liquor","Ivory Coast","SPO","EXW","1 MT","EUR","Organic differential: +513","314","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Powder","Ghana","SPO","EXW","1 MT","USD","Organic differential: +563","486","From 01/10/2026","Cocoa",""
"Cocoa","Organic","Powder","Ivory Coast","SPO","EXW","1 MT","EUR","Organic differential: +513","444","From 01/10/2026","Cocoa",""
"Cocoa","Conventional","Beans","Pacific","CP","FOB","1 MT","USD","3500","275","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Beans","Worldwide (exc. Ivory Coast and Ghana)","SPO","FOB","1 MT","USD","3500","275","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Butter","Pacific","CP","EXW","1 MT","USD","Commercial price","549","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Butter","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Commercial price","549","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Pacific","CP","EXW","1 MT","USD","4063","344","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Liquor","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","4063","344","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Powder","Pacific","CP","EXW","1 MT","USD","Commercial price","486","From 11/06/2026","Cocoa",""
"Cocoa","Conventional","Powder","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Commercial price","486","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Beans","Pacific","CP","FOB","1 MT","USD","Organic differential: +450","275","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Beans","Worldwide (exc. Ivory Coast and Ghana)","SPO","FOB","1 MT","USD","Organic differential: +450","275","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Butter","Pacific","CP","EXW","1 MT","USD","Organic differential: +563","549","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Butter","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Organic differential: +563","549","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Liquor","Pacific","CP","EXW","1 MT","USD","Organic differential: +563","344","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Liquor","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Organic differential: +563","344","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Powder","Pacific","CP","EXW","1 MT","USD","Organic differential: +563","486","From 11/06/2026","Cocoa",""
"Cocoa","Organic","Powder","Worldwide (exc. Ivory Coast and Ghana)","SPO","EXW","1 MT","USD","Organic differential: +563","486","From 11/06/2026","Cocoa",""
"Coconut","Conventional","by-products","Worldwide (exc. Pacific)","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","01/12/2009","Oilseeds and Oleaginous fruit",""
"Coconut","Conventional","for drying","Pacific","SPO","EXW","1 nut","USD","0.08","0.01","19/11/2012","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","for drying","Worldwide (exc. Pacific)","SPO","EXW","1 nut","USD","0.14","0.02","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","for processing","Pacific","SPO","EXW","1 nut","USD","0.08","0.01","19/11/2012","Oilseeds and Oleaginous fruit","whole brown nut; "
"Coconut","Conventional","for processing","Worldwide (exc. Pacific)","SPO / HL","EXW","1 nut","USD","0.14","0.02","01/12/2009","Oilseeds and Oleaginous fruit","whole brown nut; "
"Coconut","Conventional","fresh","South-Eastern Asia","SPO / HL","EXW"," ","","Commercial price","15% of the Commercial price","13/04/2018","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","","South America","SPO / HL","EXW","1 MT","USD","357","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","","South America","SPO / HL","FOB","1 MT","USD","428","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","","Southern Asia","SPO / HL","EXW","1 nut","","Commercial price","15% of the commercial price","13/07/2015","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","","Western Africa","SPO / HL","EXW","1 MT","USD","314","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","","Western Africa","SPO / HL","FOB","1 MT","USD","377","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Conventional","","Windward Islands","SPO / HL","EXW","1000 nut","USD","112","11","01/10/2004","Oilseeds and Oleaginous fruit","whole fresh; "
"Coconut","Organic","for drying","Pacific","SPO","EXW","1 nut","USD","0.09","0.01","19/11/2012","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","for drying","Worldwide (exc. Pacific)","SPO","EXW","1 nut","USD","0.15","0.02","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","for processing","Pacific","SPO","EXW","1 nut","USD","0.09","0.01","19/11/2012","Oilseeds and Oleaginous fruit","whole brown nut; "
"Coconut","Organic","for processing","Worldwide (exc. Pacific)","SPO / HL","EXW","1 nut","USD","0.15","0.02","01/12/2009","Oilseeds and Oleaginous fruit","whole brown nut; "
"Coconut","Organic","fresh","South-Eastern Asia","SPO / HL","EXW"," ","","Commercial price","15% of the Commercial price","13/04/2018","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","","South America","SPO / HL","EXW","1 MT","USD","392","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","","South America","SPO / HL","FOB","1 MT","USD","471","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","","Southern Asia","SPO / HL","EXW","1 nut","","Commercial price","15% of the commercial price","13/07/2015","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","","Western Africa","SPO / HL","EXW","1 MT","USD","345","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coconut","Organic","","Western Africa","SPO / HL","FOB","1 MT","USD","414","30","09/05/2011","Oilseeds and Oleaginous fruit","whole dry with shell; "
"Coffee","Conventional","Arabica;Natural","Worldwide","SPO","FOB","1 pound","USD","1.75","0.2","01/08/2023","Coffee","Natural; at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Conventional","Arabica;Washed","Worldwide","SPO","FOB","1 pound","USD","1.8","0.2","01/08/2023","Coffee","Washed; at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Conventional","Robusta;Natural","Worldwide","SPO","FOB","1 pound","USD","1.2","0.2","01/08/2023","Coffee","Natural; at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Conventional","Robusta;Washed","Worldwide","SPO","FOB","1 pound","USD","1.25","0.2","01/08/2023","Coffee","Washed; at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Organic","Arabica;Natural","Worldwide","SPO","FOB","1 pound","USD","Organic differential: +0.40","0.2","01/08/2023","Coffee","Natural; For further information see requirement 4.1.1 of the Coffee Standard. "
"Coffee","Organic","Arabica;Washed","Worldwide","SPO","FOB","1 pound","USD","Organic differential: +0.40","0.2","01/08/2023","Coffee","Washed; For further information see requirement 4.1.1 of the Coffee Standard. "
"Coffee","Organic","Robusta;Natural","Worldwide","SPO","FOB","1 pound","USD","Organic differential: +0.40","0.2","01/08/2023","Coffee","Natural; For further information see requirement 4.1.1 of the Coffee Standard. "
"Coffee","Organic","Robusta;Washed","Worldwide","SPO","FOB","1 pound","USD","Organic differential: +0.40","0.2","01/08/2023","Coffee","Washed; For further information see requirement 4.1.1 of the Coffee Standard. "
"Cucumber","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Cucumber","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Cucumber","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Cucumber","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Cut Flowers","Conventional","single stem flowers","Worldwide","HL","Auction","1 stems","","gross sales (clock) price","6% of gross sales (clock) price","15/10/2023","Flowers and Plants",""
"Cut Flowers and Cut Foliage","Conventional","Bouquets","Worldwide","HL","Auction","1 bouquets","","gross sales (clock) price","6% of gross sales (clock) price","15/10/2023","Flowers and Plants",""
"Cut Flowers or Cut foliage","Conventional","Bunches","Worldwide","HL","Auction","1 bunches","","gross sales (clock) price","6% of gross sales (clock) price","15/10/2023","Flowers and Plants",""
"Cut Flowers","Conventional","single stem flowers","Worldwide","HL","FOB","1 stems","","Commercial price","10% of the commercial price","31/10/2008","Flowers and Plants",""
"Cut Flowers and Cut Foliage","Conventional","Bouquets","Worldwide","HL","FOB","1 bouquets","","Commercial price","10% of the commercial price","31/10/2008","Flowers and Plants",""
"Cut Flowers or Cut foliage","Conventional","Bunches","Worldwide","HL","FOB","1 bunches","","Commercial price","10% of the commercial price","31/10/2008","Flowers and Plants",""
"Date","Conventional","for drying","Algeria","SPO","EXW","1 kg","EUR","0.81","0.15","21/09/2021","Fresh Fruit",""
"Date","Conventional","for drying","Egypt","SPO","EXW","1 kg","EUR","0.6","0.09","15/08/2011","Fresh Fruit","farm-gate; bulk packed; pre-processing"
"Date","Conventional","for drying","Tunisia","SPO","EXW","1 kg","EUR","0.81","0.15","before 2004","Fresh Fruit",""
"Date","Conventional","for processing","Algeria","SPO / HL","EXW","1 kg","EUR","0.81","0.15","21/09/2021","Fresh Fruit",""
"Date","Conventional","for processing","Egypt","SPO / HL","EXW","1 kg","EUR","0.6","0.09","21/09/2021","Fresh Fruit",""
"Date","Conventional","for processing","Tunisia","SPO / HL","EXW","1 Kg","EUR","0.81","0.15","23/01/2017","Fresh Fruit",""
"Date","Organic","for drying","Algeria","SPO","EXW","1 kg","EUR","0.89","0.15","21/09/2021","Fresh Fruit",""
"Date","Organic","for drying","Egypt","SPO","EXW","1 kg","EUR","0.64","0.09","15/08/2011","Fresh Fruit","farm-gate; bulk packed; pre-processing"
"Date","Organic","for drying","Tunisia","SPO","EXW","1 kg","EUR","0.89","0.15","before 2004","Fresh Fruit",""
"Date","Organic","for processing","Algeria","SPO / HL","EXW","1 Kg","EUR","0.89","0.15","21/09/2021","Fresh Fruit",""
"Date","Organic","for processing","Egypt","SPO / HL","EXW","1 Kg","EUR","0.64","0.09","21/09/2021","Fresh Fruit",""
